999 5000
640 535 269
606 225 752
747 249 394
891 465 361
940 546 942
617 14 690
644 193 792
371 557 154
152 193 441
820 718 440
360 358 555
560 682 550
151 429 856
942 320 231
627 979 233
992 596 883
306 959 530
524 330 51
611 482 457
37 21 670
394 100 830
285 659 583
401 528 770
484 471 799
750 98 70
282 808 848
827 114 809
284 638 884
297 967 15
940 723 582
583 117 558
21 120 859
141 520 941
690 722 548
278 192 337
844 473 657
725 19 495
285 302 697
174 318 64
263 258 389
91 559 463
19 579 489
604 720 15
437 129 602
740 406 479
859 968 526
787 693 331
547 696 773
944 869 552
309 850 476
116 941 918
38 959 4
80 282 371
361 719 437
83 178 1000
995 756 833
100 543 727
223 808 548
648 752 177
390 779 630
109 894 839
104 651 362
959 730 761
972 809 625
395 891 501
456 705 63
383 927 900
6 575 987
216 684 387
558 511 138
560 333 757
521 293 28
764 983 319
444 98 933
21 757 998
629 39 679
501 972 900
153 250 634
417 809 798
332 50 396
695 532 854
587 694 903
371 715 246
478 68 68
571 15 743
29 362 522
62 863 582
497 734 903
162 151 675
878 482 260
886 895 122
878 483 182
686 572 291
533 50 580
748 620 112
279 367 786
565 148 291
824 644 662
52 525 388
89 403 577
892 8 904
229 886 392
259 572 621
722 823 940
971 572 90
236 569 214
580 134 341
787 677 370
538 535 833
548 147 812
734 375 76
841 352 175
800 792 412
528 763 149
874 998 833
307 578 985
886 84 835
829 811 989
15 68 120
603 615 489
917 69 569
118 909 189
608 428 695
527 268 807
700 574 14
709 9 396
858 23 323
543 344 879
16 815 792
9 424 809
794 65 70
343 592 959
327 11 41
889 18 713
255 446 640
112 846 63
689 938 203
46 680 956
185 474 156
997 816 109
78 862 647
450 751 108
3 6 325
281 155 638
885 211 101
187 395 690
552 111 452
632 76 284
773 796 589
641 77 507
532 378 63
987 761 135
100 769 393
883 654 980
196 57 838
530 408 544
583 541 811
985 73 175
654 60 26
942 760 508
380 825 401
212 829 806
592 25 481
879 273 71
789 613 457
367 700 53
383 361 775
622 263 671
978 102 962
119 937 644
82 726 287
834 283 305
85 368 833
492 469 262
379 521 925
91 803 227
350 144 208
907 296 858
228 414 996
175 214 579
561 851 979
525 62 90
132 440 621
197 530 677
932 598 63
789 576 335
31 803 30
927 977 448
269 712 343
892 992 489
499 367 762
917 563 409
339 652 349
35 402 76
862 48 824
150 927 606
527 249 479
685 466 763
284 102 732
131 958 670
575 616 79
969 673 313
658 707 582
150 288 233
338 629 195
956 778 896
286 24 19
132 709 653
345 711 417
549 416 191
63 481 19
798 687 106
967 842 140
320 788 511
173 694 920
459 492 518
374 716 2
520 723 302
93 297 497
944 717 176
302 929 644
591 820 328
793 279 107
377 52 206
966 806 162
270 736 686
459 348 894
534 977 459
828 330 477
664 992 521
644 72 590
265 567 406
674 396 151
616 992 300
608 644 505
843 466 803
550 381 127
217 251 25
775 924 855
974 867 985
500 120 601
41 327 201
384 760 598
370 147 976
183 637 316
124 131 67
669 438 952
443 884 757
710 988 855
948 112 432
665 403 543
184 504 601
386 204 180
572 366 648
832 882 81
230 312 79
819 652 806
910 511 597
331 991 295
121 928 441
691 179 993
80 921 276
506 139 289
590 595 366
927 619 127
248 433 292
71 716 130
520 323 410
962 907 490
986 676 774
995 252 924
993 62 941
158 582 766
637 580 160
140 567 619
769 582 46
922 458 219
399 916 390
891 18 949
504 554 998
610 964 911
481 479 844
122 380 795
62 283 285
848 861 87
134 675 458
661 61 571
125 90 26
114 718 418
350 484 319
813 842 625
134 254 299
760 295 660
865 138 656
555 833 529
621 223 927
301 245 699
59 421 836
146 280 59
151 235 684
282 494 68
962 751 171
16 848 324
541 994 697
617 953 820
169 953 526
552 553 452
526 765 961
676 727 355
790 160 851
984 175 623
474 273 875
258 329 188
523 40 239
619 780 578
522 869 348
148 74 696
783 462 842
969 177 89
187 461 321
446 697 165
433 680 651
589 249 925
526 581 278
384 27 758
84 925 617
513 636 956
633 738 660
168 20 891
948 35 378
770 88 315
423 622 579
462 711 455
20 714 779
356 316 413
358 973 599
741 525 760
969 53 745
992 684 159
911 951 845
812 600 906
67 124 859
468 40 374
199 585 196
396 410 861
917 875 332
443 673 283
460 653 408
73 56 6
186 589 121
443 460 855
600 528 344
28 714 713
783 531 963
880 819 804
507 420 399
908 166 338
303 947 415
334 845 494
327 649 641
833 489 35
276 531 91
226 356 312
221 401 762
152 81 385
260 493 48
329 476 498
871 81 644
593 478 837
870 429 191
485 757 158
781 86 158
994 957 909
316 645 93
707 47 980
218 570 764
289 839 551
422 863 90
221 731 563
580 87 717
426 771 817
335 661 331
963 714 413
741 980 343
407 226 196
566 891 292
496 736 948
639 270 532
551 738 151
81 452 51
205 387 537
129 503 94
445 778 547
359 964 574
965 675 88
584 903 501
668 97 554
586 67 331
532 830 234
790 339 585
899 502 314
990 681 954
820 826 17
51 705 242
804 25 265
950 985 226
630 912 212
254 913 785
979 970 906
860 886 239
453 789 786
904 402 813
150 516 794
422 12 40
719 96 221
241 475 242
601 642 464
704 122 38
785 728 883
810 437 233
896 511 527
393 266 568
655 111 250
568 946 119
976 697 675
657 835 947
875 744 19
373 225 639
209 999 756
950 774 345
284 7 452
918 562 711
817 272 560
227 866 871
307 825 462
118 729 567
634 284 964
865 646 869
209 454 537
854 897 265
735 854 960
865 441 201
49 824 166
395 936 509
697 398 413
518 977 694
194 347 945
614 337 50
458 679 774
224 415 81
201 318 643
526 545 48
290 940 214
24 219 25
626 243 614
17 954 418
743 945 477
159 128 817
467 648 689
781 240 580
727 189 381
200 394 917
135 514 1
115 194 433
319 149 723
237 986 758
162 732 171
963 536 597
389 352 431
968 222 887
753 746 445
890 801 160
205 607 811
802 650 739
902 386 485
439 885 351
480 765 671
231 891 411
434 733 496
860 10 934
157 40 582
449 806 318
925 609 510
246 672 480
26 524 754
162 404 706
667 490 956
831 737 883
392 528 177
365 909 654
710 358 387
361 284 521
472 248 458
366 273 865
717 153 842
104 539 483
948 475 108
135 25 303
277 135 738
802 500 717
501 928 75
6 8 810
837 479 982
622 844 468
650 561 740
799 383 843
439 51 713
16 185 739
48 180 132
888 981 738
357 482 557
183 487 906
12 324 646
87 665 256
154 34 841
373 832 107
849 272 8
519 287 584
214 53 365
44 940 879
809 16 781
504 916 807
923 646 479
104 452 253
845 605 50
867 696 7
990 264 311
445 782 421
802 715 639
58 758 54
575 286 734
294 508 754
500 432 922
748 254 925
380 817 878
45 684 520
541 674 749
29 837 926
520 358 788
65 415 819
267 709 756
204 3 509
57 502 334
274 968 525
943 348 41
935 111 76
343 371 734
731 399 376
902 637 231
788 420 369
151 406 315
518 609 201
674 384 835
980 657 397
259 319 437
635 255 706
134 316 212
307 47 617
36 668 694
840 456 80
61 326 534
989 843 141
921 236 302
74 216 291
194 474 383
381 827 457
679 680 384
628 986 913
414 740 968
836 580 688
397 360 540
645 349 983
938 988 173
897 780 795
513 693 373
166 792 948
792 471 650
452 818 157
877 232 900
252 786 757
520 183 97
113 546 586
549 485 423
938 382 796
544 613 748
341 497 419
684 8 516
707 460 601
435 56 643
902 27 983
388 546 404
232 377 89
144 644 881
45 583 730
444 845 926
255 186 907
857 870 779
931 296 628
823 731 366
946 352 313
574 458 156
385 690 491
460 833 595
738 596 994
398 758 834
670 13 488
876 870 902
372 801 725
46 344 818
494 290 80
249 583 266
269 967 178
665 146 49
705 883 356
48 281 192
234 669 654
606 545 866
567 636 343
543 400 36
249 893 939
744 143 35
979 130 79
622 794 159
817 218 859
609 983 556
159 218 527
439 823 327
309 110 789
698 652 836
431 619 187
453 364 505
777 62 298
68 402 352
223 220 317
260 547 836
297 424 93
439 581 927
408 889 888
450 306 404
174 736 293
509 908 281
705 685 690
31 471 993
868 693 943
642 672 543
681 687 688
656 126 680
455 253 87
81 702 253
359 875 915
974 103 661
672 526 229
150 556 346
29 143 521
128 785 966
491 466 588
279 841 210
366 296 861
342 95 329
343 453 803
81 146 819
444 536 883
493 404 642
13 433 449
943 560 971
828 769 395
836 766 814
252 132 506
638 193 359
9 535 127
691 334 104
195 778 568
506 271 914
93 283 485
821 226 872
54 772 969
751 609 817
291 579 445
562 218 941
210 944 205
30 354 854
713 548 550
651 773 521
993 865 464
768 405 548
821 177 793
363 927 436
670 936 686
109 499 754
178 427 673
63 456 893
999 887 584
996 258 981
981 969 725
250 738 264
462 278 568
446 359 32
758 29 172
368 856 143
195 34 303
965 814 777
90 813 374
480 528 660
644 510 548
391 478 875
543 658 160
589 104 426
563 580 787
474 666 390
601 860 528
156 825 53
885 633 170
221 832 782
813 476 760
375 585 216
394 128 401
409 436 107
782 998 771
903 472 76
880 792 481
890 947 952
433 551 439
71 771 172
954 584 836
348 678 155
937 790 746
466 199 175
535 699 825
185 322 221
220 202 152
115 93 272
553 244 711
344 314 488
248 986 968
65 334 697
467 271 198
996 455 334
680 709 530
362 893 573
235 831 204
899 664 301
512 218 916
113 561 572
765 528 48
440 592 105
511 777 660
653 773 115
431 172 575
908 253 162
706 487 953
706 387 130
236 617 294
291 729 235
378 213 123
170 372 497
577 882 513
693 255 266
264 685 284
262 593 390
153 300 508
594 724 790
700 960 859
741 969 425
781 66 976
630 235 534
509 531 443
165 224 901
312 206 945
631 467 399
921 619 541
699 932 574
300 632 797
518 92 126
183 873 484
779 222 270
747 449 237
36 332 748
858 644 565
804 993 966
625 634 761
182 333 253
463 351 924
423 868 715
71 52 565
783 830 596
731 578 655
927 332 256
348 908 367
691 713 919
369 238 135
449 420 96
879 561 746
120 632 863
952 134 70
725 583 603
946 511 905
500 577 228
416 268 517
45 488 522
306 575 136
619 24 931
283 621 351
814 460 226
398 412 391
811 137 762
240 801 929
281 302 343
948 436 217
330 199 867
766 505 55
441 124 31
254 406 424
347 938 595
71 336 813
647 865 673
526 105 829
914 104 537
880 53 867
832 382 384
990 148 447
443 308 894
201 561 820
17 626 323
573 416 264
978 781 66
520 307 681
862 222 663
226 102 590
25 652 683
22 642 111
243 804 714
305 723 422
773 739 936
180 31 131
640 9 749
966 528 550
117 109 816
651 334 241
238 77 689
643 99 379
477 60 364
338 364 27
478 137 791
244 35 954
426 394 624
389 79 177
377 195 89
868 845 602
897 801 228
860 444 704
902 640 476
30 977 142
879 174 168
187 417 878
524 842 590
588 949 17
180 327 545
598 913 130
351 529 419
181 389 740
826 291 205
251 39 231
39 917 239
681 822 517
78 346 490
586 933 964
455 831 135
955 430 171
301 780 312
448 679 600
477 225 59
426 475 110
790 232 721
327 912 92
281 709 470
796 295 832
261 468 352
489 423 472
630 724 145
300 890 245
78 367 829
865 512 724
691 302 719
153 628 982
437 909 445
505 705 993
506 684 348
338 173 52
319 802 588
80 820 78
238 898 556
621 482 932
478 173 436
567 44 11
287 200 468
715 704 353
438 928 277
348 266 726
962 303 222
19 101 724
965 339 184
280 678 12
823 156 965
950 441 116
424 446 259
525 161 160
331 318 354
539 384 192
919 346 499
102 84 65
822 767 840
161 47 652
979 589 577
690 539 980
163 681 548
834 924 723
928 255 499
950 512 223
238 431 297
547 251 310
676 791 43
143 670 346
7 650 504
26 59 304
204 939 404
828 773 975
333 420 369
154 370 862
78 326 883
348 873 653
419 268 896
258 129 498
862 853 472
773 597 430
224 801 543
354 348 13
128 680 55
873 553 374
132 630 810
538 696 212
196 834 645
644 810 300
481 391 182
968 165 865
232 388 682
435 460 532
129 306 784
243 180 642
725 30 680
534 567 193
934 762 492
321 125 971
836 325 326
205 293 358
170 243 722
936 396 526
769 525 391
1 767 391
785 211 739
200 464 966
29 398 427
411 438 19
603 274 238
186 478 908
933 647 458
786 302 784
818 789 249
438 790 908
673 294 134
938 212 89
489 240 984
520 369 462
676 971 527
875 158 8
367 91 825
820 595 309
669 414 693
43 570 410
901 243 453
689 899 853
941 107 803
310 627 793
397 22 147
195 897 189
751 982 629
673 521 540
616 190 96
349 232 391
589 851 168
842 260 812
587 201 346
291 510 491
83 625 321
845 819 722
765 289 601
775 961 118
817 297 410
555 364 19
580 671 910
848 513 863
735 101 671
728 110 965
67 910 262
426 755 384
402 520 42
79 14 60
276 831 99
663 105 499
2 684 22
191 252 119
358 705 996
725 433 455
321 218 287
541 362 344
299 763 812
626 560 321
352 836 113
375 218 932
479 219 872
536 128 749
825 204 78
932 647 204
150 967 969
996 508 342
317 806 395
157 151 730
11 222 167
133 596 763
640 793 242
270 330 511
431 873 434
17 805 31
34 674 620
987 389 108
22 705 232
818 580 31
894 310 270
806 442 47
655 801 861
441 71 84
354 501 187
190 236 813
954 270 473
405 975 453
800 996 96
3 533 214
356 428 478
648 234 1000
256 607 64
656 48 893
105 402 884
426 591 465
271 264 193
509 387 684
135 188 983
185 190 485
814 264 566
472 631 96
571 605 839
472 979 738
442 84 953
632 509 917
59 498 715
472 7 616
580 142 374
402 45 924
757 858 298
259 49 116
994 619 425
56 91 789
164 533 643
393 165 469
931 941 487
452 414 467
360 712 564
174 114 522
896 590 906
882 848 193
936 842 734
595 616 298
514 780 72
953 891 643
901 541 125
347 992 61
799 72 135
112 245 681
187 859 888
120 460 617
819 396 666
139 990 875
548 223 332
209 176 990
34 77 765
519 424 75
418 941 184
747 772 169
191 958 952
223 797 184
104 616 330
546 473 464
604 21 428
879 229 162
46 981 188
752 500 290
888 637 990
378 384 146
549 293 983
579 516 407
70 619 610
956 883 676
552 206 256
370 85 67
83 130 809
872 600 254
803 489 461
676 585 268
40 134 709
81 431 966
917 501 359
808 176 203
454 446 722
838 534 601
170 617 123
202 489 110
733 292 931
620 687 474
609 726 259
891 806 589
689 443 648
544 251 117
282 423 459
225 979 454
253 868 614
130 70 423
606 802 226
290 422 661
558 31 225
959 641 603
229 49 851
999 592 282
663 873 570
492 99 620
136 70 201
115 199 122
301 804 988
778 812 907
662 370 202
553 48 582
687 277 660
265 276 145
93 657 945
62 149 780
729 3 250
546 117 183
151 136 334
557 914 987
104 295 965
681 847 880
617 253 319
321 517 282
617 609 533
786 390 236
491 119 490
546 384 262
238 534 972
734 810 199
43 913 603
720 313 760
446 649 273
167 688 343
881 305 605
254 809 627
774 300 676
297 565 9
374 802 395
868 536 820
713 578 894
135 18 820
839 182 178
79 349 627
554 948 665
638 202 586
549 975 523
859 991 372
991 365 19
657 951 95
851 665 288
677 799 564
535 638 450
42 436 967
955 989 396
455 346 623
482 894 233
809 472 717
420 463 984
833 838 708
501 408 89
465 804 81
447 339 444
610 100 449
559 55 143
737 228 130
836 709 684
630 238 536
414 657 344
282 209 852
383 428 881
866 612 379
150 59 461
508 387 361
583 664 1
85 120 749
931 956 543
391 305 552
322 437 851
435 719 460
106 102 471
902 686 877
503 554 241
161 62 12
918 363 156
448 447 421
206 97 780
672 487 818
376 809 899
455 962 359
181 786 257
616 688 682
381 909 65
923 789 203
851 426 190
163 873 874
593 79 30
979 469 47
108 844 107
953 19 553
519 199 590
903 533 448
693 633 507
38 556 226
443 126 318
929 7 135
582 599 427
613 297 734
568 404 961
332 358 605
58 595 829
289 498 105
927 910 308
475 947 383
811 109 989
292 38 987
364 620 795
515 951 898
136 519 407
319 569 574
239 345 461
76 634 621
446 280 86
449 754 273
726 284 88
848 575 16
258 657 987
984 173 678
9 27 839
156 345 224
659 302 90
758 377 321
74 823 421
299 990 896
190 717 619
189 565 611
943 541 6
319 244 583
363 253 723
645 408 738
776 67 232
971 824 386
519 616 655
346 914 994
645 822 138
509 11 75
385 673 791
200 991 785
904 73 953
636 717 702
149 494 605
245 184 828
436 422 637
169 486 471
173 132 600
332 359 465
55 744 80
319 662 432
545 566 254
24 920 682
628 70 642
18 33 871
232 187 746
781 355 687
963 527 236
249 577 715
264 632 735
951 669 653
349 214 52
819 237 653
125 600 261
426 551 236
150 51 126
78 14 277
855 262 825
273 245 846
154 914 482
695 982 517
803 520 255
270 245 45
804 369 196
809 794 182
281 662 696
108 458 504
180 313 909
828 305 24
828 458 632
777 153 811
659 675 519
495 944 733
914 467 798
933 276 584
222 276 838
560 383 948
630 281 799
961 827 104
257 655 302
466 152 45
376 529 737
805 24 678
479 937 119
958 870 967
232 810 811
886 89 72
999 718 730
862 680 962
30 655 908
654 121 755
868 215 723
758 20 363
310 217 422
48 175 449
780 125 975
787 12 345
178 729 412
566 591 438
782 620 446
373 992 419
114 579 167
384 337 560
677 366 978
626 413 922
165 193 624
514 980 624
951 876 518
825 442 808
380 943 245
307 316 186
355 148 323
335 531 746
335 926 131
269 553 948
378 436 517
330 949 647
293 619 114
703 445 943
704 543 152
44 849 296
375 204 482
285 539 783
969 873 211
301 142 538
46 238 916
982 286 321
618 578 743
130 999 299
801 703 74
136 746 866
784 121 92
300 125 624
347 94 669
320 114 205
564 159 208
244 859 951
873 196 407
841 44 95
253 844 820
208 698 532
12 483 62
737 501 86
3 847 349
858 167 980
575 449 927
249 693 58
489 285 371
744 126 979
281 379 176
240 305 467
944 35 442
488 490 990
875 492 839
75 70 901
387 363 715
857 330 899
905 537 421
149 282 377
435 562 416
565 801 612
113 745 478
861 234 809
112 827 230
927 901 408
909 288 899
60 863 912
902 768 747
31 916 812
3 351 553
353 634 436
445 466 698
852 46 47
468 875 569
295 521 964
909 431 507
887 209 180
913 830 336
757 860 401
602 581 353
9 652 719
934 97 966
325 667 535
948 135 118
118 430 203
188 339 41
264 944 346
203 857 369
628 334 530
969 654 205
99 381 161
862 315 361
528 359 930
521 307 381
109 144 942
935 331 372
193 595 571
658 797 152
673 426 511
547 114 163
721 931 660
546 512 790
774 561 435
216 388 917
805 323 10
453 234 867
763 891 371
930 283 858
432 549 728
305 988 36
559 534 853
846 720 440
492 214 684
163 429 406
259 953 456
123 406 874
862 169 358
836 817 275
237 967 860
469 991 965
632 550 455
307 115 337
21 606 598
15 768 562
395 745 225
817 867 903
191 448 222
456 4 333
723 240 396
538 427 276
342 59 985
398 84 312
892 104 209
601 836 758
457 232 933
266 767 389
199 676 994
19 133 821
655 855 728
978 393 442
574 453 702
157 850 8
135 462 151
437 63 816
227 238 759
761 503 436
881 420 720
169 438 321
459 811 513
707 790 156
663 83 213
115 240 492
649 93 328
7 530 319
481 475 730
624 954 785
253 554 386
557 723 458
994 900 981
5 608 703
127 989 603
421 105 960
565 472 789
171 478 299
557 677 599
181 301 269
307 272 50
571 829 286
273 542 797
504 265 663
526 111 677
630 531 891
973 96 312
128 984 444
531 541 452
408 721 448
240 746 865
344 36 128
171 308 205
897 530 961
951 56 550
994 685 185
860 377 709
198 224 97
14 754 371
507 162 260
301 120 548
85 463 324
698 633 45
571 250 43
990 919 670
239 913 230
18 492 684
891 689 171
468 703 638
304 210 387
860 229 336
881 313 236
937 729 670
632 10 4
300 249 595
90 266 504
975 876 690
85 344 301
947 648 492
410 227 358
273 109 468
317 46 596
713 347 652
78 697 244
361 996 272
276 804 272
682 780 305
497 864 819
14 531 183
740 940 656
413 931 138
399 966 304
833 680 549
567 476 916
311 837 426
22 831 660
280 514 950
132 11 170
47 742 604
609 482 343
118 895 370
15 13 272
676 845 71
403 413 255
108 442 530
246 464 842
189 462 343
629 312 722
934 359 688
489 686 675
983 803 98
409 537 72
801 931 895
310 335 516
295 161 234
835 126 967
208 314 987
811 661 302
145 596 83
220 85 512
776 787 891
666 196 415
849 715 387
596 26 2
475 39 231
514 874 148
17 82 764
980 892 29
974 37 111
47 974 317
804 470 638
84 136 795
619 703 58
86 18 499
605 211 724
285 724 613
91 740 360
927 439 603
145 133 121
957 897 599
574 701 361
976 784 856
575 403 859
608 207 561
384 811 180
917 97 303
606 905 542
95 551 237
195 696 40
50 653 34
878 227 730
896 204 722
330 497 426
904 823 226
777 926 477
579 843 408
824 169 871
810 263 925
672 176 951
666 943 763
557 541 324
867 437 329
961 485 220
896 389 757
320 884 736
554 183 232
603 7 208
276 535 23
780 207 633
700 591 156
273 866 896
790 733 509
231 414 907
168 310 243
927 348 135
614 620 409
144 941 719
841 217 960
239 997 718
812 697 682
49 688 235
824 478 460
756 708 725
173 875 159
696 803 637
105 136 337
695 279 316
12 838 794
862 795 697
919 608 679
287 375 150
802 199 138
769 673 970
868 564 867
995 261 288
471 84 617
567 498 437
604 509 955
857 371 193
827 9 136
493 296 939
566 816 850
835 304 376
812 890 777
384 885 646
758 76 765
986 642 895
212 964 106
275 821 357
852 367 366
37 579 517
315 863 45
791 698 57
659 510 333
92 894 679
784 371 84
280 358 884
272 288 98
492 563 464
82 134 85
399 170 937
730 484 873
877 993 30
47 653 730
106 463 486
488 966 289
226 246 108
325 236 379
387 727 407
989 528 385
959 645 800
226 376 240
637 971 608
464 19 929
801 842 331
751 330 810
354 275 483
32 599 244
997 985 904
245 975 818
344 653 351
613 878 372
85 234 277
549 417 473
386 936 292
685 688 414
950 42 921
898 791 401
363 508 247
992 471 979
150 815 681
952 428 290
848 512 677
716 779 929
321 165 71
768 568 291
264 237 526
752 135 235
839 217 445
630 209 914
116 78 377
253 30 930
987 596 868
675 313 446
497 633 946
537 120 344
702 383 803
908 853 803
344 692 941
567 42 472
980 157 860
209 409 808
583 397 687
469 790 126
853 287 301
402 543 150
237 245 440
590 872 441
797 216 851
220 501 971
851 482 780
560 690 310
17 274 499
70 461 375
153 314 219
588 434 804
144 671 716
82 979 537
591 776 149
512 996 997
474 847 345
592 127 921
838 143 303
480 930 414
912 802 994
350 390 46
330 252 208
273 333 338
807 643 536
275 873 797
525 67 240
975 658 725
117 215 411
249 695 631
842 326 568
469 394 170
248 723 937
978 714 310
407 240 432
331 515 153
251 758 444
737 734 788
68 569 493
541 536 59
945 98 564
869 285 874
902 532 144
188 229 442
524 354 303
222 685 229
511 654 920
149 110 15
881 178 491
110 718 298
752 663 202
719 252 548
799 872 381
601 778 260
836 21 875
31 960 56
738 472 655
205 339 209
405 220 793
892 48 817
635 799 265
755 238 703
