10000 50000
9575 4790 643
7173 6722 401
1645 6886 446
1915 9052 922
3972 2936 828
1183 9076 894
2132 307 425
9891 5598 480
7844 3895 695
338 3768 597
635 9694 739
9629 6866 460
8030 8510 698
1827 6776 749
9100 7099 36
3927 8282 112
5821 413 418
5597 303 16
6428 4498 262
5123 4835 381
6071 5470 75
1809 5098 292
621 9479 802
2670 7657 577
7418 6756 676
1453 683 309
916 6503 721
4334 8451 376
9701 4878 225
5314 6352 60
4694 2423 881
120 583 330
2412 1203 161
9565 224 817
3493 7641 925
4520 5446 607
3828 2713 461
3549 7046 911
6276 3098 140
3500 4763 492
1911 5809 266
5791 5928 848
7473 4691 403
8633 4255 626
3801 7748 619
5725 2267 416
8331 2447 128
143 5995 526
405 8622 623
5545 2121 738
3388 4032 546
3653 6174 825
4500 3646 868
9254 8630 122
7880 2431 221
498 8155 840
4913 2838 286
2040 2980 632
2565 3385 253
2540 8929 725
7277 8668 108
4174 2320 282
6998 3171 279
865 2425 909
5339 304 691
3911 7153 845
1102 2065 682
739 456 14
2722 9373 398
3326 8264 678
6051 5540 345
9158 9713 664
4791 3062 834
4070 279 258
8330 5617 913
5020 5879 65
6216 6981 481
3898 7719 289
911 6793 661
7660 118 924
3337 6168 815
4033 1678 879
7048 6468 292
6881 6889 570
5491 5218 538
755 6589 417
3172 2805 749
7652 3054 819
8940 316 611
5952 4327 729
1227 7663 248
8393 8047 925
5271 5094 393
1563 8326 281
4484 168 851
3022 923 439
3790 4094 595
7890 1745 1000
6060 7037 315
4671 9340 641
9751 567 655
998 8959 701
3923 582 794
9667 8496 120
2299 2979 287
149 2352 561
940 2493 654
886 6734 751
3886 2794 139
3552 3816 478
7545 3566 396
9199 915 707
5252 1189 288
6397 855 783
5868 9506 113
5507 9654 465
6067 6945 309
7073 7831 43
9823 8068 836
2313 1619 651
7790 5515 568
6538 1066 482
4244 6317 671
2531 9065 877
5665 4933 382
1777 439 388
6593 2857 332
254 9929 514
4296 6103 581
1131 8415 552
8133 2557 66
8700 5446 131
181 9689 799
9203 8571 864
9080 587 796
4813 2363 586
200 5308 794
8884 5561 723
1749 6208 177
6330 3690 944
5233 1822 852
3298 6873 297
8781 3405 337
579 2608 907
1442 8039 845
3589 9203 207
2526 9403 866
4320 4638 778
2394 6386 985
2922 9067 674
1865 4299 847
6068 3949 719
5716 2729 476
5052 3307 83
9310 1101 473
4154 4689 675
7713 7215 429
2930 1534 418
3708 279 804
7044 3200 222
7718 5065 521
2916 7484 469
4987 3200 197
462 8251 855
4896 3913 955
7368 8066 644
5394 5778 210
9175 8708 95
7592 8767 373
8747 5810 572
8969 9879 988
9841 2795 824
8309 4133 23
5857 4594 273
6711 9489 185
5018 3208 603
1661 4953 732
8222 479 439
6316 4423 557
4688 3169 367
2611 8489 245
1951 8329 391
8774 2989 523
8796 5197 468
3420 1908 956
1957 6925 515
4911 4937 820
3642 3158 298
7433 5825 720
9989 6864 241
8355 9474 81
2952 7776 410
6694 6549 750
8217 1696 947
684 1468 854
8992 9776 130
6858 4686 418
9677 8327 927
2975 5759 751
7046 5748 614
4286 454 439
6367 9757 215
3128 6451 115
2877 1019 163
7823 8054 982
1028 7045 757
7509 3903 442
5278 3579 120
6204 2905 231
9306 9951 330
2919 588 783
8710 6954 892
2276 6433 694
2390 9310 712
6904 3484 765
2885 864 162
4993 8372 64
1786 2 994
6906 6205 251
4136 1863 201
3465 1133 140
9599 9842 446
1842 2117 878
535 859 539
246 7762 23
4363 6999 238
5524 1991 609
6939 129 610
8284 7034 167
2534 7521 29
3086 7337 513
4226 6935 355
8671 8777 823
5900 5663 681
2439 5909 795
8813 271 145
6050 2146 487
8010 9084 615
9972 7367 648
8138 6253 520
4518 9338 856
2030 9915 143
5736 8585 271
1559 4485 933
4591 3275 841
1737 2087 463
5881 8136 960
4720 6145 395
7334 2468 762
3334 605 366
6853 1474 55
7709 9856 970
8203 1943 906
7473 9853 390
2405 4444 664
9598 2532 102
3412 4765 589
9372 9484 734
766 6817 201
5879 6502 158
3596 3355 983
651 7415 190
7620 1969 133
9525 9441 985
2267 1845 780
8282 7794 312
6384 1206 428
8972 6929 911
4057 4046 79
1610 9925 581
6119 3520 287
8453 4170 53
643 8141 21
1127 7666 461
5111 6284 657
6243 4565 803
9906 7300 8
8333 2624 288
6243 6680 333
3673 4641 257
7605 7111 129
4891 5564 650
2295 6206 791
1667 3684 808
479 8794 443
7488 1388 7
2290 1293 659
4649 5977 282
3936 8571 313
7268 2244 954
6877 9848 64
6357 1091 979
6 9737 536
8148 1404 219
307 1882 365
8749 9369 752
8108 8010 397
4766 2658 373
4047 6593 296
6359 213 539
9664 7089 738
80 3445 828
6058 9802 565
946 7950 320
3164 4608 553
6880 3357 922
1984 7816 283
4732 2581 941
7104 2979 533
4399 5689 745
289 5353 185
6027 1784 629
9206 4193 431
2122 5138 732
2793 4654 339
5346 7885 47
3619 9868 862
9901 4599 442
8841 8055 772
726 8805 461
6470 9094 165
2007 1472 948
4635 7029 492
3417 9151 982
6500 1943 987
7839 3640 871
8885 7258 739
4099 7159 689
1892 5999 743
2664 3076 548
5476 9546 993
3640 1552 816
9939 2538 844
430 2307 346
8763 8806 641
1749 2996 280
2620 8233 890
9710 2331 48
1398 4222 398
7493 3237 474
2392 8712 371
2736 2351 274
4551 8641 163
9746 5423 469
444 4185 275
9436 5934 622
5715 4905 854
1956 966 184
9003 8715 758
4753 6207 994
7226 8598 706
5596 7685 56
8221 2235 697
3383 8333 119
852 5128 655
3478 4563 940
9099 6629 196
9305 8585 161
5488 7587 876
2245 2339 434
8591 5916 384
7296 7863 68
4703 6083 655
751 9466 339
2221 6669 466
7876 146 28
2167 5596 656
1363 4900 240
1523 6740 179
6750 5336 869
4536 3926 785
919 1221 647
1338 2276 82
344 3026 547
7682 5247 215
6499 9474 712
3526 1640 659
3534 3002 559
2125 877 298
8303 3978 633
9524 8513 911
308 5783 131
5306 3473 406
2739 3816 784
9637 7850 30
3203 4348 503
6914 4226 142
2573 7759 496
9483 9883 372
3132 4538 701
2116 4061 566
5026 720 348
5509 2377 172
1914 5116 340
4049 4752 189
5078 7955 888
1932 1220 113
426 144 871
1921 9626 106
644 9109 995
3344 1225 55
909 6250 126
609 1758 854
3780 24 969
7119 4072 73
4659 5502 379
6547 7433 950
9011 7858 94
9234 6130 71
5691 6773 180
6685 117 404
8091 7377 5
216 7985 115
1069 8117 138
3390 1587 561
6814 2598 62
4544 5496 495
3493 4506 704
2586 3739 834
4009 9429 958
8188 2465 426
9943 555 803
4299 770 139
413 8191 607
6550 7932 194
3111 4745 791
1524 9288 638
7370 2780 143
1074 1718 234
7259 5726 14
216 265 479
9642 6559 33
2796 857 155
3934 1270 345
9541 4171 276
3086 3633 372
9228 5157 11
865 8878 790
3359 6303 859
9592 9913 936
1606 129 552
6084 6122 110
7468 8917 319
9622 9202 940
9966 5094 110
4593 8179 95
3964 3758 603
8974 4622 480
3116 7981 783
5326 3924 695
3262 5529 175
7813 7964 648
5275 5432 916
3593 5053 118
9532 1371 563
5993 2315 94
6087 6279 851
7689 1604 473
4521 1071 805
1303 6397 728
4349 6010 609
3876 3822 924
9523 5448 355
439 9040 760
6908 4923 482
8470 7268 796
4563 3354 426
4414 7395 30
5238 1915 452
394 9569 848
9473 3917 857
4081 4144 31
3005 3667 478
3711 457 870
5822 7364 144
9303 2185 411
5099 3100 765
9876 3865 511
9905 5454 425
3709 5847 345
7556 5319 613
3765 9400 757
3795 8756 423
5624 2466 231
6493 4640 594
8637 3942 130
8047 5392 229
7163 5268 93
3673 1524 546
8449 5232 392
2793 2788 63
7406 2904 814
2514 6698 569
1288 2321 386
518 5166 377
7111 3802 319
8592 8200 710
6821 1715 329
5265 5387 853
2811 188 84
2554 2980 223
3968 6737 478
4781 5602 175
701 6889 848
5439 7406 365
4815 868 518
4485 9460 717
9547 2632 431
9875 7896 170
1727 7058 357
5163 9612 688
7737 9931 777
3215 4712 378
1741 1764 267
8940 3554 24
1304 4721 892
3821 9205 351
890 8751 982
3320 8626 229
3841 6704 287
8197 8218 250
8237 5955 180
1365 5521 243
3742 7261 359
9360 6201 912
2384 3856 632
6275 7677 837
5977 8566 939
8310 8237 916
8538 2078 620
5824 6626 837
5425 4862 143
8605 6226 663
9199 6320 276
1557 2031 476
3821 4414 683
4452 7040 359
640 9368 276
1931 7677 513
1846 6215 942
8465 8390 567
9654 3815 781
6796 8771 358
5811 7969 677
2086 5878 60
913 9698 473
3595 501 865
306 1141 232
1933 3071 909
5445 4916 475
3738 9733 216
2305 9386 382
8437 2533 504
794 4695 473
5823 3132 702
2882 4044 399
706 3991 899
5570 648 391
9802 2580 461
8062 4377 729
2536 8114 813
8103 6770 550
7485 5206 82
1988 6000 129
812 8174 260
5513 1055 656
6263 8112 998
7514 3682 645
9904 9835 224
1717 7896 952
8445 6783 66
1257 4885 835
9806 8721 41
7239 7061 392
5719 4224 917
979 6089 971
6634 2351 434
2631 6216 115
5627 6120 949
1202 7836 196
1154 2632 978
9219 240 215
405 45 287
6797 3635 699
9188 9354 923
6104 6684 363
426 9669 65
2860 8651 281
5326 4277 400
7627 5478 235
7822 6631 218
1152 2201 457
5718 2606 853
9004 9402 487
2055 4942 192
2977 7397 875
6339 4175 895
4755 3386 545
3035 8711 821
7434 6337 651
6020 511 633
7237 1662 834
8693 3731 791
6545 9086 192
4384 1140 485
7927 468 234
8154 3158 408
8048 7913 793
6593 947 503
5765 4733 192
6767 752 702
4400 4341 715
585 9385 445
9375 2282 530
3918 3017 22
3403 943 489
6636 9096 647
395 7144 559
1187 88 857
7041 2204 589
9232 8971 693
8285 9722 33
5351 306 417
6147 6032 50
6029 9949 66
7050 9703 9
4890 2690 104
9536 3084 599
8446 622 38
8303 7663 242
9243 3246 564
935 7883 285
6967 3233 590
8736 5732 621
2785 1760 921
9851 5161 624
4211 50 665
7666 5938 749
4617 4383 370
1654 9037 384
895 8280 630
5458 5566 864
6094 8885 96
683 7620 179
7655 6756 938
928 2958 98
7551 7168 500
3215 1186 437
8315 5802 171
4037 7455 208
7420 8350 839
4049 159 756
1264 6253 640
1712 3287 259
7890 7294 15
5828 8221 324
5277 2123 844
1128 1689 29
6564 4 830
2735 392 284
4294 7811 985
484 8212 496
2239 9475 748
2879 1186 386
1137 9076 679
2503 1255 251
3179 2883 725
1022 4011 414
50 574 769
4879 9660 160
3514 305 322
499 788 533
3994 3027 8
93 5905 545
5830 3393 620
8861 2248 874
111 5426 109
9836 2799 119
7601 2848 44
1721 4078 56
9880 7591 360
8553 4441 148
9086 4786 174
5445 4878 430
2989 708 174
9609 9568 773
3834 6030 198
7294 2217 348
8412 9817 195
2808 1537 272
6863 7768 215
1222 6321 655
2721 1758 441
894 7202 670
7675 190 729
4201 6150 648
2973 6336 678
3523 3629 894
6870 2041 63
9417 1200 599
6040 8062 719
254 5635 391
8909 8356 148
8701 5601 701
3370 9628 890
1451 3828 392
9098 6800 727
2775 322 355
5021 3544 747
7083 2960 946
7033 8999 359
4751 9253 994
1493 4513 349
9992 9565 301
5692 9286 928
1582 736 755
9973 9834 907
1051 8960 580
9405 3980 123
2504 1062 434
449 4447 433
9160 9197 37
7153 7042 901
9853 7033 817
4505 2725 102
2433 658 190
539 6982 375
5445 8032 334
7025 7436 666
8499 6291 727
2933 6740 173
2717 2251 722
1753 9403 115
8005 5607 147
3821 111 223
5274 2543 880
3815 3082 861
2189 4878 892
9523 1902 680
7188 401 970
2266 9685 61
1791 2401 311
6864 505 65
8978 4861 671
4476 5033 134
2699 306 28
1578 473 461
7439 2661 339
7682 2183 592
1713 5722 344
2035 4340 28
9095 6130 780
4758 9345 284
6174 4674 144
3197 9149 528
330 1847 186
6357 9777 658
1818 3567 318
8508 1248 853
7099 9313 926
2443 1347 265
7470 6793 746
1250 7902 90
1885 4076 763
7381 7272 264
7908 3953 110
5093 309 238
2750 8478 804
3068 6985 404
8272 4084 716
9197 2878 62
4462 347 206
8559 7948 108
5649 9833 183
3763 7213 806
7378 1472 758
2840 6565 418
8077 5666 896
6881 5085 232
3284 3356 667
5351 2553 544
8764 3366 891
8969 1924 190
7076 3924 22
5610 4039 586
7767 1416 58
7524 607 974
3942 8684 639
5189 1916 724
9772 5199 79
8439 6901 983
9982 5664 348
8224 4632 624
4414 8060 899
6787 21 937
6373 7788 705
3782 1663 311
7755 5604 994
7393 7144 909
8468 6916 459
2899 5354 359
9881 1687 374
6581 6263 6
5204 7028 417
4102 166 437
3391 6538 576
4095 6671 239
1757 4425 194
8103 8170 338
11 6637 605
9822 9535 310
6532 5768 348
8906 2348 610
2263 3903 989
3679 4356 155
1467 7746 692
7043 8192 715
633 6301 491
9826 4403 660
2515 765 649
2119 586 535
3428 3470 302
2776 2375 649
4737 989 903
3726 4667 259
2880 2485 356
4923 9527 900
3637 159 200
3128 6337 602
7139 8851 718
7787 7322 304
4322 7101 125
2975 9876 851
3976 965 839
8878 1042 857
4488 3921 341
7844 5195 220
2095 5184 730
6294 4663 66
1247 1801 917
3316 5940 590
5971 6613 690
2095 5939 918
6945 9914 882
9135 8792 923
5991 3279 195
1684 7474 741
6903 9568 924
8632 2213 586
6698 9811 739
9966 3127 30
6907 5449 994
4596 7544 932
8513 840 846
9746 9975 989
2020 5965 267
8214 7648 93
5955 902 12
5230 9534 577
2816 2583 739
4906 8900 217
2935 5806 666
3928 401 209
7211 8914 400
4056 5011 374
6044 7031 691
7663 5244 690
3107 7550 592
8118 2780 477
8046 1947 59
7785 6852 310
3353 6138 115
8018 65 867
6578 7275 132
5978 7683 143
1703 3726 173
3393 7740 768
5435 846 318
2026 5316 449
4502 3361 395
5912 7497 246
6221 850 383
8687 8867 799
1553 1797 425
9685 7774 107
2827 9476 185
9351 9221 924
1118 4655 122
435 6680 437
5235 7533 797
5629 9796 646
9226 2368 495
2608 7406 361
8758 8958 157
2183 4994 282
9641 7820 110
825 7170 330
6101 4640 984
2222 1426 15
10 6661 899
1158 2289 46
9803 1515 413
9297 474 818
4010 5584 127
518 7766 121
4800 3758 292
4909 935 814
4238 7035 453
4573 5608 878
7939 5617 890
8837 3126 179
5882 2929 45
1646 8577 870
4815 2586 453
6941 3104 570
4061 4255 328
1705 5515 614
6518 9752 648
5970 676 607
3199 8614 575
7089 3802 700
9619 9683 980
3663 7680 557
884 2494 494
7337 5786 949
4258 9847 203
8585 1551 717
198 4420 820
5197 6741 495
5803 9939 460
4729 3379 261
429 2997 295
5408 3011 326
5316 3895 819
7810 1231 605
9758 5488 803
2313 425 705
4029 6974 124
8201 8523 864
3047 677 154
6507 5406 533
119 5834 529
9766 7593 540
7091 2909 434
6910 718 16
8866 6827 855
7020 9139 631
6724 3168 957
7199 7720 479
8062 766 507
1567 7272 912
2099 3743 97
5628 3508 690
8519 598 598
5304 3859 667
9671 9076 845
5877 6095 984
2508 2818 503
8816 16 222
7294 4429 987
2800 5996 611
64 4446 353
3160 6425 860
3849 4943 809
3798 6598 668
816 6268 743
4661 8497 190
3996 1004 7
6498 6171 375
3071 9816 155
4057 2615 502
8667 9030 948
3371 2190 372
5230 2390 667
391 6188 616
3058 3355 236
1152 8015 732
5341 8362 87
8700 4859 257
8426 7929 72
8932 8338 38
5434 3356 68
2733 6727 609
6456 8308 998
1474 8698 537
3090 8107 892
7325 5611 258
6408 7303 620
6494 2354 830
2750 779 111
5173 9711 448
210 1496 155
629 580 881
3237 3387 541
4587 4861 590
2123 7950 697
9366 1626 659
4624 8033 313
4595 878 667
9424 9979 797
8534 5151 859
2333 1712 354
9488 8693 285
9720 8281 672
8260 2867 532
1850 4990 833
9898 707 810
9908 5330 194
7220 6276 71
6886 5700 401
3683 585 551
6541 9270 614
7247 8757 306
4883 8476 587
9554 3088 453
5437 1289 794
5621 1186 501
7430 7445 182
9975 4664 458
3397 7902 509
6797 7936 445
1699 828 714
8313 4426 822
9970 9309 650
3556 5214 737
6361 651 25
506 6271 562
5358 53 6
1892 6379 21
8349 9776 922
3209 6572 857
5005 8271 37
9719 2935 462
9540 2904 770
4189 6460 984
8277 9172 986
7301 6029 256
214 1387 660
4219 3278 39
9240 7978 166
8513 7538 89
9370 2542 359
3758 2260 293
6219 8152 197
7989 8692 8
1324 6969 531
5309 621 559
1916 835 297
4928 1405 574
4318 644 903
3483 9157 440
5571 4878 982
2282 8635 593
1926 1205 96
4474 5545 788
9833 6868 108
4363 8528 80
1274 444 266
9570 1723 671
1144 6040 314
7046 5874 822
6838 7796 51
2819 77 37
3763 2003 242
2859 2828 786
6998 2661 6
8105 3375 533
2536 4648 328
7802 4218 50
4472 1713 441
8137 5110 314
7311 1947 110
1361 1117 538
6750 4880 892
3343 7738 720
5480 4735 732
4485 9191 106
8370 1726 754
9049 5879 323
1451 350 35
9891 4839 144
557 2149 443
2666 9861 559
1203 6610 438
4447 9952 175
4166 5432 909
2897 6268 451
5002 4637 529
8107 3686 407
5429 5136 757
815 1378 595
4959 1934 95
3753 951 955
7311 8506 565
5749 2952 868
8275 7117 299
5536 6365 567
1986 7718 555
6514 5825 592
6921 7605 79
4029 8420 457
5975 9730 742
69 3482 693
4023 792 198
939 2892 149
7807 1167 617
105 6702 333
5023 8687 50
930 1553 226
521 8473 831
7952 8853 250
6760 4827 331
7501 4895 812
5545 8917 955
5742 9856 847
5242 4014 365
8210 4118 66
7542 5493 104
944 2774 656
169 9646 480
6999 7597 332
8600 708 158
9930 8209 404
1093 3753 673
3048 5847 880
4246 7440 893
6610 2002 362
2027 9543 206
6130 6838 979
8138 7007 625
4969 357 221
4301 5309 929
4810 1590 489
6566 2683 593
7238 2082 791
469 2679 583
1361 5640 584
9074 7666 478
2280 147 316
8258 8284 322
234 3253 678
9807 3905 338
3735 5066 928
8575 7983 610
3519 5220 43
4310 5688 721
8892 3400 360
1827 2474 377
4304 1105 523
3619 5714 807
9940 5948 411
2970 5754 667
1307 5840 84
7586 4414 67
195 4284 286
7589 8593 326
7661 3836 77
3372 2014 902
6748 6318 6
271 9936 72
8429 6228 19
6191 5549 772
4209 3207 611
7292 793 376
8358 7339 659
996 4928 604
5673 2588 791
3749 2312 805
7003 9059 122
1360 5681 409
1431 461 636
7449 6651 536
5572 859 743
9534 8151 535
7909 6508 873
6920 3855 152
4523 9527 92
8665 3276 403
8469 6630 461
942 7989 494
3351 9420 954
8338 3220 605
8874 8792 815
2616 8325 317
3502 2586 177
1726 9505 31
4878 379 558
6969 5395 185
1371 216 814
1183 1157 802
6676 859 573
8982 9197 793
7938 4422 936
7752 7037 612
8421 6890 197
5597 8615 53
6627 3492 783
3536 6812 530
3720 4534 745
533 2069 901
1687 5096 760
2259 4077 308
2403 2014 729
7690 6118 117
1302 4538 6
3850 134 620
2255 3112 464
7389 6648 275
7918 367 161
8662 7252 229
6915 5290 324
6026 7548 401
4333 6303 766
3413 3992 883
9529 1645 420
8886 5495 905
6857 7749 17
4672 5137 664
9299 9407 382
8459 8068 985
9687 4982 274
2362 1007 174
9114 1691 476
7880 5103 819
9114 983 464
4886 9868 958
790 3077 58
9806 7748 546
1821 7046 952
555 5504 372
6539 1542 705
7813 3904 64
9338 9369 754
7165 7248 209
8983 2714 191
8798 7599 411
7755 8388 839
7164 4546 586
8062 6366 984
8365 6920 839
3088 9811 381
2793 7623 636
6208 3312 4
4961 476 604
1521 9458 317
9064 8256 267
2826 2362 654
9664 5878 199
601 3939 917
8584 2303 188
8423 5391 998
6155 4535 972
4142 742 283
5145 2054 110
6100 3575 568
9768 8990 175
1034 1815 536
7040 1478 765
7590 8430 703
4506 7014 358
1046 5436 100
7395 7942 634
7719 2083 727
1353 3579 780
5463 6031 706
5382 5798 47
3556 3184 861
443 223 690
3208 4164 120
6262 5022 485
1619 6067 272
8718 9813 213
6703 7531 295
1781 8884 873
8913 698 903
9618 6079 53
5665 5986 236
9877 6428 810
1919 9635 973
6038 5897 994
3522 3867 412
2793 8937 225
6357 1991 107
5651 3772 342
4875 2684 39
3778 8653 469
1182 669 454
1769 546 882
2578 8816 868
3902 4853 116
248 4726 983
9011 3870 271
1235 6578 261
3694 2228 32
5035 3454 67
7074 7231 720
7894 4764 740
8348 6532 285
1581 5461 452
4448 5715 656
5916 5962 381
1250 1324 602
5520 8911 179
1780 2604 758
8164 7638 212
7230 1063 794
1301 8957 558
6041 3656 441
7677 5236 902
8129 6035 616
9784 1950 929
2517 3199 252
5470 8718 514
5001 6850 117
6758 1365 107
8321 4946 521
7115 2599 477
7024 8639 484
3464 2667 719
1717 7147 106
9332 3283 55
5612 5799 606
3216 7620 675
9729 2620 524
8846 5730 240
8304 4050 186
8824 7516 784
4653 891 774
4136 4355 440
5207 2423 939
2312 1755 221
1366 3718 371
6323 6933 990
9998 6662 610
521 1859 691
5113 162 92
8298 8985 608
433 3637 850
1206 7773 204
997 2979 627
7935 5290 733
8155 3007 450
525 9330 735
6867 5679 396
9476 2551 254
518 7663 415
5609 2312 399
4568 2744 36
4418 3949 160
4973 1298 490
7951 9232 131
9035 3739 489
7485 615 170
9219 7481 848
3966 3308 399
4219 3825 61
985 9434 373
6735 353 116
6122 4770 417
3281 6095 66
9770 4045 649
7900 3080 387
1741 6916 2
4910 2486 482
3758 6451 790
5156 7021 614
568 8005 399
1940 4739 104
2408 861 225
3176 4141 319
1593 263 364
9241 4514 443
628 6254 710
2629 7516 195
8462 1273 645
1251 6428 665
4217 3347 21
2967 1639 759
8422 4046 971
8647 3573 464
4965 5165 726
5328 4405 591
5122 1384 197
1831 364 712
7377 8826 984
3021 6428 763
2037 6996 461
9057 6315 99
7168 4736 496
6138 3382 68
5601 8347 584
1678 26 341
8621 1500 724
1817 9682 440
8880 7059 617
7215 6431 396
8329 8468 392
2789 3876 58
8888 7395 793
5383 3533 527
1803 5485 225
9738 3515 602
2078 2135 101
2154 303 783
2593 9182 841
4561 6396 271
2956 1076 90
8347 3864 966
2756 2751 360
1901 4486 244
4427 2640 81
8003 2377 595
1604 4455 729
6705 2960 383
7839 1904 564
9679 6464 311
4301 9419 386
7391 4118 249
708 6873 352
1419 5125 189
5663 9551 828
1743 3905 204
7689 5509 10
5769 8565 969
4151 6403 224
1714 6081 687
8376 381 458
9761 4123 927
1361 4830 151
2064 6249 276
7252 8263 178
5079 6357 83
1635 4045 591
2644 9813 155
2965 3963 909
5188 2028 341
227 6755 721
4684 6515 196
5962 4227 25
4112 6291 273
7387 9894 535
6565 1325 891
9647 2959 287
4589 1954 99
8095 4918 413
8003 106 792
343 6684 546
9415 7719 60
2610 3680 639
6987 7791 281
1259 1530 526
146 8094 850
5388 4092 160
4675 5032 114
3773 3126 383
9538 7480 488
7329 7822 523
1875 3588 241
9286 2550 920
924 9536 63
1556 7146 592
2082 7291 37
283 2679 128
1443 3705 159
908 7477 636
5290 3366 115
6130 695 288
3652 2569 227
8893 8206 776
4164 9130 663
7226 7037 809
1817 9118 451
853 5753 481
332 7195 185
4842 8102 14
2477 3391 379
7591 9520 73
3230 9524 993
2457 8416 199
4232 2579 680
1895 6157 716
3055 4325 186
1505 1530 938
8986 1861 484
170 3055 937
1535 5531 327
9914 9474 199
8986 2703 722
6979 5159 489
9529 5743 419
1208 3989 575
6275 7043 900
460 4899 781
6749 3884 641
6584 406 695
4520 8292 578
2199 8205 51
9397 3543 105
2470 6873 616
3958 6401 358
728 7608 698
7303 3882 92
4554 694 990
3334 3794 226
326 378 983
373 4897 274
5950 7095 479
7352 2843 21
1456 1664 893
7071 1973 293
4780 2701 252
2829 6355 485
7920 7260 530
7910 6945 324
4487 7270 701
1469 3994 949
6742 9943 396
220 3646 590
3592 5102 254
7484 8524 578
4128 9656 630
4731 8836 336
9216 6756 595
745 1017 539
6068 5503 161
8120 6971 154
5069 3712 449
1816 284 94
1405 3875 547
9010 7711 423
8588 1838 430
3569 6569 265
4905 2136 372
3499 2880 388
5390 5300 242
4550 3419 564
7703 4839 628
3503 6654 911
6597 4411 137
7495 3420 847
6917 8359 37
8698 8280 957
2963 3184 92
6686 3034 323
1426 8423 622
1667 9324 393
5231 7027 583
8858 6881 589
9120 3477 999
3256 972 770
1455 4240 481
1491 2938 760
799 2252 943
5890 8937 976
6564 362 751
2538 8381 74
8282 9963 452
8864 8820 333
8804 4291 161
6802 3898 484
924 5352 724
3404 3194 13
4163 3992 264
4457 6233 200
7784 2797 914
9534 1686 294
6960 9967 256
1411 5182 427
9095 3986 717
256 7139 966
5091 8062 318
7814 1465 511
6178 1979 855
441 6435 87
9993 4219 235
6258 104 920
4551 7063 886
9158 4826 420
8936 272 405
3004 527 543
969 5618 605
4286 9783 421
7149 2313 400
4003 2753 186
7089 9097 404
5676 1706 860
9595 6256 274
9833 1765 99
5252 700 371
1008 3703 249
7550 4672 218
8506 5309 353
927 2457 665
1678 6459 769
8863 9900 218
6619 5575 923
4478 1521 531
5751 1353 295
8202 2956 347
924 3963 49
524 7865 72
2094 2722 381
3446 3648 189
3462 1677 648
6230 540 899
799 3510 825
722 7987 345
3252 89 50
3898 4642 357
5244 1917 672
6645 2441 536
9068 4534 257
448 4331 257
637 7792 933
3636 373 824
2886 1172 333
7710 1893 671
4054 1496 112
4455 5393 753
7812 6989 670
7835 3633 462
9370 2700 995
9978 9500 677
586 6488 468
2871 6475 840
5694 9360 11
8379 7069 255
5401 7474 750
2512 1929 495
4265 6092 483
4286 3926 467
6747 9647 518
93 5976 17
7769 6562 504
9588 9432 978
5427 1477 337
8790 6207 757
